Longitude,Latitude
-83.51268,8.69745
-60.2211,-20.3004
-75.183333333333,-3.0333333333333
-78.165,-4.44167
-55.65,-24.45
-57.751842,-16.734548
-57.8641,-25.1
-61.56667,-16.05
-80.583,-1.333
-79.6126,-2.7558
-57.99443,-15.47503
-58.25,-24.28333
-65.166666666667,-2.8333333333333
-59.617777777778,-23.450555555556
-58.8,-23.466944444444
-58.16666,-6.8
-76.283333333333,-7.85
-73.2666702,-38.333333
-63.6666667,-17.45
-47.6666679,-24.2833328
-71.217,-10.133
-57.57512,-22.68592
-59.24443,-23.88226
-65.85,-10.17
-71.78,-10.98
-63.48,-6.82
-67.43,-9.02
-48.799922,-22.590278
-75.35,-9.5
-77.2133408,-8.0972147
-54.3166657,-3.35999985
-41.701944444444,-19.800833333333
-75.57297,-9.56633
-58.98501,-23.40034
-57.260333,-27.497016
-58.3,-6.43332999999999
-67.68528,-10.42192
-48.0997219999999,-21.7199999999999
-49.13,-22.41
-68.1666679,-6.8000002
-51.68362,-14.07861
-41.519722,-10.976111
-41.2851,-11.28517
-67.583298,-8.5667
-67.7,4
-69.1508333333333,7.57944444444444
-69.325,7.43583333333333
-55.17092,-30.77548
-54.87993,-30.24033
-55.23322,-30.141553
-52.013611,-31.301944
-47.209722222222,-23.090277777778
-47.891201,-22.3885
-47.699101,-22.2862
-49.8167,-21.483299
-47.333301,-21.016701
-48.133301,-22.049999
-47.866699,-21.700001
-49.366699,-21.549999
-47.450001,-21.1833
-48.883301,-24.133301
-49.116699,-24.233299
-47.666699,-23.4
-46.883301,-23.200001
-48.233299,-22.25
-46.805599,-24.216101
-47.780602,-20.5061
-49.4897,-23.7078
-46.680801,-22.6819
-50.049999,-21.201099
-46.6339,-23.550301
-45.070801,-23.433901
-48.462766,-23.344612
-45.5105885243,-23.3568412574
-45.5451688973,-23.1055386564
-46.9454,-23.714899
-47.9622,-25.1084
-47.000801,-24.313101
-40.600278,-19.935556
-41.184722,-20.603611
-72,4
-71.78,10.98
-67.77,10.4
-62.737967,-10.246353
-56.4,-16.316667
-56.152222,-19.577778
-62.974778,-10.047336
-56.797,-19.061903
-38.542778,-3.718333
-56.210237,-16.350687
-56.179218,-16.724863
-48.969444,-28.586667
-40.076111,-19.437222
-53.487153,-30.456219
-52.866201,-5.910199
-63.019722,-9.208611
-41.804333,-2.843361
-39.416667,-7.958333
-44.617083,-22.887722
-41.417306,-2.928056
-54.55,-25.433333
-52.261358,-15.892806
-47.95,-24.066667
-54.337763,-25.522288
-54.398969,-30.319253
-53.596011,-28.755314
-55.884667,-29.824778
-47.307021,-23.938888
-42.777837,-22.031451
-44.87975,-20.891333
-46.75,-3.75
-48.571136,-27.391428
-47.865028,-21.157442
-46.327522,-22.307511
-40.942953,-13.114919
-39.393889,-12.970831
-57.503356,-30.200581
-57.258111,-30.053914
-55.644836,-29.861686
-57.100917,-29.824111
-56.752056,-29.884944
-40.011581,-19.013916
-51.366389,-29.864167
-43.566389,-19.293611
-47.878922,-22.127989
-46.80337,-3.572861
-46.619696,-3.50326
-49.542642,-27.054156
-52.431761,-29.901778
-53.865278,-27.611944
-56.6,-16.133333
-56.216667,-15.65
-58.6,-15.783333
-37.525556,-5.058331
-52.756111,-27.115556
-48.262222,-18.911389
-44.614317,-22.427694
-62.5,-5.5
-43.348511,-21.842536
-50.006219,-29.703461
-52.181944,-28.313056
-55.794714,-19.142142
-39.043642,-4.418292
-51.24575,3.242306
-42.835278,-22.520836
-49.448864,-28.865981
-54.735556,-20.5725
-53.305,-27.946389
-56.41509,-3.36135
-56.6175,-18.9875
-50.657278,-25.403889
-49.178933,-26.73885
-48.322678,-21.263781
-48.057982,-15.787027
-49.202493,-27.11066
-50.658333,-18.416111
-51.433333,-18.183333
-48.810089,-25.671386
-49.899167,-26.789722
-51.783333,-26.65
-48.88255,-27.628622
-42.05419,-22.423204
-47.124722,-22.824739
-51.9516,-23.420406
-50.398861,-29.438972
-50.481361,-25.235528
-49.949583,-25.116083
-56,-3
-39.8057,-18.27
-40.160833,-18.375
-48.59956,-27.085253
-48.81,-21.89
-41.301414,-20.242408
-53.84,-24.283889
-40.202997,-19.137456
-52.503221,-32.556377
-49.920523,-24.572734
-44.253114,-15.089608
-44.017417,-20.076056
-49.319583,-28.549417
-43.912804,-16.70033
-84.637799,9.797538
-56.859527,-16.745373
-56.740528,-16.587475
-56.896348,-5.988952
-75.394916,-10.046529
-75.077073,-9.4994
-72.755354,-10.962612
-58.340811,-33.1273
-75.269906,-9.286216
-64.072838,-9.082659
-80.161519,-0.854028
-35.305157,-5.70183
-42.574167,-14.267222
-79.787383,-0.439897
-80.321825,-0.273766
-78.067826,-1.407281
-77.11846,-0.63266
-77.07826,-0.43919
-76.278,-0.48547
-60.468362,-31.507947
-60.126178,-30.015957
-75.836737,-6.102384
-58.207601,-31.866779
-59.133932,-28.528284
-51.7,-4.4
-52.45,-4.98
-53.9,-5.75
-53.37,-4.58
-53.09,-5.43
-56.613616,-16.879024
-53.771529,-32.111934
-54.124932,-26.632018
-74.849444,-11.046389
-47.331508,-22.32773
-60.516694,-31.232994
-53.7388,-22.9126
-55.086256,-34.365384
-48.570379,-20.553337
-61.440697,-10.591096
-72.52146,-11.150565
-73.938807,-9.52087
-73.705548,-6.831091
-60.845966,-28.711706
-53.540226,-33.936958
-52.3069,-4.47714
-59.523509,-24.808891
-58.236573,-32.177035
-54.544781,-34.754387
-76.728802,-5.128642
-75.671028,-4.893528
-73.338469,-9.560656
-75.563302,-5.298747
-75.499167,-5.124167
-74.279278,-5.948361
-58.092903,-31.428701
-55.306262,-34.428594
-56.962406,-19.494648
-55.965729,-20.095917
-80.743892,-1.6805
-76.779083,-6.016472
-47.805217,-14.1447
-48.6127,-10.6455
-80.373089,-0.6482
-80.128343,-0.113525
-77.569583,-1.05767
-75.074472,-5.456028
-58.037298,-32.521755
-60.895852,-25.32757
-58.779753,-27.922638
-64.852836,-23.755205
-55.22073,-4.91675
-73.50135,-9.70021
-76.115555,-4.585833
-74.077856,-11.097306
-57.86667,-22.41667
-57.27449,-25.08595
-61.190517,-30.185374
-61.113551,-25.021522
-77.346278,-2.770167
-75.005188,-9.165553
-60.995976,-30.810219
-61.187884,-30.518225
-74.712163,-10.894379
-74.884971,-5.846258
-54.986686,-5.994513
-55.181323,-5.826567
-74.212917,-6.803944
-75.183797,-8.554433
-57.848027,-25.512929
-65.410308,-26.744542
-78.247626,-8.082886
-61.296293,-10.71789
-58.768272,-30.950493
-75.01202,-6.22618
-58.20718,-26.334566
-58.18531,-25.141555
-59.236908,-31.501288
-73.577167,-6.558361
-57.366151,-34.034118
-56.329651,-16.588817
-74.23372,-10.86594
-74.10878,-10.32961
-74.14681,-10.53657
-67.797503,-10.171364
-59.942889,-22.523898
-73.760278,-10.245278
-48.53228,-9.969537
-56.640663,-20.099408
-74.587393,-6.197365
-56.208515,-33.307184
-75.018172,-10.746642
-40.860832,-10.16
-60.332039,-22.350539
-74.4835,-8.264083
-74.83417,-5.32041
-74.84955,-5.072627
-77.248056,-5.6805
-74.78075,-5.669806
-75.113889,-9.927222
-70.622861,-3.725019
-74.810333,-4.848
-75.691528,-2.301239
-54.687832,-27.02369
-60.330734,-24.397758
-59.439468,-29.840048
-43.233333,-22.9
-73.208667,-7.251278
-75.0686,-4.32521
-59.846134,-26.602495
-77.11371,-8.35537
-76.85709,-8.61304
-76.83739,-8.08503
-59.1548,-2.83333
-75.183333,-3.333333
-71.16042,-10.47873
-59.185281,-30.386648
-80.843416,-1.139666
-56.666667,-16.35
-73.10055,-4.2393
-79.6126,-0.27558
-73.339722,-7.421667
-73.768333,-7.4325
-66.383331,-9.58639
-53.756318,-34.186672
-56.189575,-16.014004
-63.366667,-17.366667
-75.79,-5.8
-75.98,-5.93
-74.87,-7.5
-75.83,-6.56
-75.29,-6.73
-75.02,-6.6
-75.15,-7.07
-75.77,-7.18
-75.91,-6.73
-74.79,-6.56
-75.2,-7.99
-75.63,-5.62
-75.82,-5.6
-74.822361,-6.208028
-54.23975,-25.70331
-64.65427,-23.51384
-58.809394,-27.478596
-55.931433,-12.778863
-75.45,-7.183333
-75.333333,-7.583333
-54.316666,-33.599998
-39.299999,-10.983334
-55.416668,-5.783333
-71.783333,-4.45
-73.26667,-3.833333
-76.958626,-2.634546
-54.256221,-25.937071
-49.5,-2.25
-72,-4
-59.971033,-3.027626
-55.65007,-27.37131
-54.54372,-25.72976
-53.88998,-27.15614
-55.03487,-26.83106
-54.58779,-26.19842
-58.022,-28.01437
-59.26423,-28.16043
-60.82363,-26.66935
-60.37587,-29.58279
-60.25001,-31.28333
-60.74947,-31.40185
-54.65,-27.26667
-54.17317,-26.37299
-60.6448,-32.10339
-59.61083,-26.85433
-58.869773,-34.230186
-65.704859,-23.162614
-79.967,-0.033
-80.033,-2.167
-58.811,3.268
-69.295,-12.838
-79.35,-2.567
-79.583,-1.333
-48.816666666667,-26.25
